요리명,주재료,부재료,조리법 ,상세설명,데이터기준일자
녹차 크림치즈 샌드 쿠키,"무염버터 60g, 설탕 35g, 노른자(L) 1개, 박력분 103g, 녹차파우더 7g, 아몬드가루 10g, 건크랜베리 25g","[샌드크림] 크림치즈 60g, 슈가파우더 15g, 바닐라익스트랙(또는 럼) 1tsp","① 건크랜베리에 물을 넉넉하게 붓고 30분간 불려준다. ② 30분 후 불린 건크랜베리를 키친타올로 꾹꾹 눌러 남은 물기를 없애준다. ③ 곱게 다져준다. ④ 볼에 말랑한 버터를 넣고 부드럽게 풀어준 다음 설탕을 넣고 충분히 섞어준다. ⑤ 노른자를 넣고 잘 섞어준다. ⑥ 박력분, 녹차가루, 아몬드가루를 체에 내려준다. ⑦ 주걱으로 가르듯이 섞어 반죽이 보슬보슬해지면 다진 크랜베리를 넣고 대충 섞어준다. ⑧ 반죽을 가볍게 한덩어리로 뭉쳐준다. ⑨ 완성된 반죽은 랩 또는 비닐에 담아 냉장고에 30분간 휴지시켜준다. ⑩ 휴지가 끝나면 반죽을 0.4cm 두께로 밀어준다. ⑪ 반죽이 굳어서 밀 때 부서지면 실온에 5~10분 정도 두었다가 밀어준다. ⑫ 원하는 쿠키커터로 찍어준다. ⑬ 160℃로 예열한 오븐에 10~15분 정도 구워준다. ⑭ 구운 색이 진하게 나오지 않도록 조심한다. ⑮ 쿠키는 오븐팬 위에 그대로 식혀준다.   열기가 좀 식었으면 식힘망에 올려 마저 식혀준다.  [크림]  ① 볼에 말랑한 크림치즈를 넣고 부드럽게 풀어준다. ② 슈가파우더와 바닐라익스트랙(또는 럼)을 넣고 잘 섞어준다. ③ 바닐라익스트랙이나 럼은 생략해도 된다.(넣으면 풍미가 좋다.) ④ 완성된 크림은 짤주머니에 담아서 사용하거나 잼나이프를 사용해 발라준다. ⑤ 크림을 처음부터 넓게 바르지 말고 작고 도톰하게 채워서 쿠키로 지긋이 눌러준다. (넓게 바를 경우 얇게 발라준다.) ⑥ 크림을 체웠으면 냉장고에 넣어준다.",,2022-10-30
녹차 크림치즈 프로스팅 초코 컵케이크,"버터 80g, 다그커버춰 40g, 설탕 70g, 소금 약간, 계란 1개, 박력분 33g, 코코아가루 8g, 베이킹파우더 2g","녹차 크림치즈 프로스팅: 크림치즈 100g, 버터 40g, 슈가파우더 100g, 녹차가루 1Ts","① 박력분, 베이킹파우더, 코코아가루를 두번 체 쳐준다. ② 계란, 크림치즈, 버터를 실온에 미리 꺼내둔다. ③ 오븐은 180℃로 예열한다. ④ 버터와 다크커버처를 중탕으로 녹이고 소금, 설탕을 넣어 녹여준다. ⑤ 풀어준 계란을 넣고 섞어준다. ⑥ 체 친 박력분, 코코아가루, 베이킹파우더를 넣어 살살 섞어준다. ⑦ 완성된 반죽을 ⅔ 정도 담고 180℃로 예열한 오븐에 20~22분간 구워준다. ⑧ 크림치즈와 버터를 부드럽게 풀고 슈가파우더를 조금씩 여러 차례 나눠넣으며 섞어준다. ⑨ 크림이 부드럽게 섞이면 녹차가루를 넣어 섞어준다. ⑩ 완성된 크림을 깍지낀 짤주머니에 담아 충분히 식힌 컵케이크 위에 짜준다.",,2022-10-30
녹차 크림치즈머핀,"박력분 120g, 설탕 90g, 달걀(실온) 2개, 베이킹파우더 3g, 휘핑크림 80g, 무염버터(실온) 100g, 녹차분말가루 15g, 우유5 0ml, 크림치즈 적당량, 소금 2g",,"① 믹싱볼에 실온에서 1시간 이상 보관해서 부드러워진 무염버터 100g을 휘핑기로 부드럽게 풀어준다. ② 설탕 90g을 두 번에 나눠 넣어서 버터와 함께 설탕의 가루가 보이지 않을 때까지 잘 섞어준다. ③ 실온에서 1시간 이상 보관한 달걀 2개도 하나씩 나누어서 넣고 빠르게 섞어준다. ④ 소금 2g을 넣고 잘 섞어준다. 오븐 예열은 170℃에서 15분 정도 예열해준다. ⑤ 박력분 120g, 녹차 분말가루 15g, 베이킹파우더 3g을 체반에 곱게 체 쳐준다. ⑥ 고무주걱을 이용하여 골고루 잘 섞어준다. ⑦ 반죽을 대충 섞고 우유 50ml를 넣어 부드럽게 잘 섞어준다. ⑧ 반죽을 짤주머니에 담아준다. ⑨ 머핀틀에 컵유산지를 깔고 녹차반죽을 머핀틀의 50% 정도만 채워준다. 그리고 그 위에 크림치즈를 넣고 싶은 양만큼 듬뿍 올려준다. ⑩ 크림치즈를 올리고 나서 다시 한 번 그 위에 녹차반죽을 짜준다. 녹차반죽은 머핀틀을 기준으로 80%까지만 채워준다. 오븐에 넣고 170℃에서 15분 구워준다.",분량: 4인분 기준 조리시간: 60분 이내,2022-10-30
녹차 크림치즈빵,"건무화과발효종 300g, 세몰리나듀럼밀 300g, 우유 63ml, 생크림 25ml, 계란 50g, 소금 3~4g, 원당 45g, 무염버터 45g, 검정깨 5g, 녹차가루 5g ","[토핑] 계란흰자 35g, 아몬드가루 30g, 슈가파우더 30g [충전물] 크림치즈 400g, 슈가파우더 45g, 레몬즙 약간","① 버터 외에 모든 재료를 섞어 하나로 뭉쳐지면 버터를 넣고 매끄럽게 될 때까지 치대며 반죽해준다. ② 1차 발효(실온 26℃, 3~4시간)해준다. ③ 65g씩 분할하여 둥글리기 후 20분 휴지해준다. ④ 재둥글리기를 하고, 성형해준다. ⑤ 크림치즈 충전물을 안에 넣고 원하는 모양대로 성형해준다. ⑥ 2차 발효(약 90분, 30~34℃, 습도80%)를 하고, 2배 부풀 때까지 기다려준다. ⑦ 덧가루로 듀럼밀가루를 윗면에 체로 받쳐 뿌려준 후 원하는대로 칼집을 넣어준다. ⑧ 토핑을 짤주머니에 넣어서 짜준다. ⑨ 계란흰자 35g+아몬드가루 30g+슈가퍼우더 30g, 계란흰자는 멍울만 풀어주고 가루류를 체 쳐 넣어 섞어준다. ⑩ 예열 후 180℃에서 20~25분간 구워준다.",,2022-10-30
녹차 크림치즈빵,"강력분 250g, 설탕 3큰술, 소금 1작은술, 드라이이스트 1작은술, 달걀 1개, 버터 30g, 녹차가루 1+½큰술, 물 115ml, 크림치즈 200g",호박씨 약간,"① 1차 발효가 끝나면 손으로 반죽을 눌러 가스를 빼주고 8등분 해 둥글리기 해준다. ② 반죽에 비닐이나 랩을 씌워 15분간 중간 발효를 해준다. ③ 반죽을 밀대나 손바닥으로 납작하게 만든 다음, 거품기로 부드럽게 풀어둔 크림치즈를 올려준다. ④ 속재료가 보이지 않게 반죽 끝부분을 꼭꼭 집어준다. ⑤ 버터나 기름을 바른 머핀팬에 반죽을 넣어 호박씨로 장식을 한 다음 50분간 2차 발효를 해준다. ⑥ 반죽이 두배로 부풀어 오르면 180℃로 예열한 오븐에서 15분간 구워준다.",,2022-10-30
녹차 티라미수,"마스카포네치즈 125g, 생크림 125g, 설탕 40g, 녹차가루 5g, 레이디핑거 10~12개","커피시럽(물 150ml, 인스턴트커피 4봉)",① 녹차가루와 설탕을 섞어준다. ② 생크림에 녹차설탕을 3번에 나눠가며 핸드믹서를 이용해서 휘핑해준다. 핸드믹서 거품기를 들어올렸을 때 생크림 뿔이 생기는 정도로 휘핑해준다. ③ 마스카포네치즈를 넣고 부드럽게 잘 섞어준다. ④ 완성된 녹차크림은 컵에 짤주머니를 끼우고 담아준다. ⑤ 차갑게 식혀둔 커피시럽에 레이디핑거를 담갔다 빼준다. ⑥ 레이디핑거 위에 녹차크림을 짤주머니를 이용해서 짜준다. 레이디핑거를 다시 올리고 녹차크림의 순서로 올려준다. ⑦ 녹차가루를 체를 이용해서 뿌려준다.,분량: 2인분 기준 조리시간: 30분 이내,2022-10-30
녹차 티라미수,"카스테라 (20*10cm) 1개, 크림치즈 250g, 설탕 80g, 생크림 150g, 레몬즙 1t, 녹차가루 3큰술, 온수 2T","녹차 1T, 설탕 1T, 오렌지술 1T, 체리 15개","① 온수에 녹차, 설탕을 넣고 섞어서 시럽을 만들어준다. 시럽에 럼주나 꼬엥트로 같은 오렌지술을 넣어주면 향기가 좋아진다. ② 락앤락글라스 용기 바닥에 카스테라를 잘라 넣고 시럽을 요리용 붓으로 발라준다. ③ 실온크림치즈에 레시피 반분량(40g)의 설탕을 넣고 섞어주고 생크림에도 설탕(40g)을 넣어 70~80% 정도로 부드럽게 휘핑해준다. 생크림과 크림치즈를 혼합해서 섞어준다. 무스틀이나 선물용으로 만드는 경우 판젤라틴 1장을 중탕으로 녹여서 휘핑한 생크림에 넣고 섞어준다. ④ 시럽을 발라준 카스테라 위에 병조림체리를 반으로 잘라서 키친타올로 물기를 빼서 올려두고 크림을 짤주머니에 담아 체리 사이사이에 짜서 채워넣고 고무주걱으로 평평하게 펴준 후 다시 카스테라를 올리고 시럽을 바르고 크림을 바르고를 반복한 후 랩이나 용기 뚜껑을 덮어 냉장고에 한시간 이상 보관해둔다. 먹기 직전에 녹차가루를 체에 넣고 뿌리고 체리를 장식한다.",2인분 기준 60분 이내 완성,2022-10-30
녹차 파베초콜릿,"다크초콜릿 330g, 생크림 110g, 녹차가루 약간",,"① 초콜릿과 생크림을 뜨거운물에 중탕해서 잘 섞어가며 녹여준다. ② 사각형 모양의 틀 바닥에 호일이나 비닐을 씌우고, 녹은 초콜릿을 붓고 바닥에 살짝 내리쳐 윗면을 평평하게 해준다. ③ 그 상태로 차가운 곳에서 최소 30분 이상 초콜릿을 굳혀준다. 초콜릿이 완벽히 굳으면 틀에서 떼어내 비닐을 벗기고 적당한 사이즈로 일정하게 잘라준다. ④ 비닐봉투에 초콜릿과 녹차가루를 넣어 잘 묻도록 흔들어준다.",분량: 4인분 기준 조리시간: 60분 이내 요리팁: 사각형 모양 틀이 없다면 사각 락앤락 통에 비닐을 깔고 굳혀도 된다.,2022-10-30
녹차 파베초콜릿,"청정원½쿠킹스위트, 화이트초콜릿 200g, 녹차가루, 생크림 100g",녹차코코넛분말,"① 큰 그릇에 뜨거운물을 담은 후, 작은 그릇에 생크림 100g과 화이트초콜릿 200g을 중탕한 후 녹차가루를 1스푼 넣어 섞어준다. ② 초콜릿이 용기에 붙지 않도록 용기 안쪽에 랩핑을 해준 후, 녹인 화이트 녹차 초콜릿을 부어 냉동실에서 굳혀준다. ③ 녹차가루에 청정원 ½쿠킹스위트를 넣고 곱게 갈아준다. ④ 굳은 초콜릿을 뒤집어 꺼낸 뒤, 뜨거운물에 칼을 담가 작은 크기로 잘라준다. ⑤ 곱게 갈은 녹차가루, 녹차코코넛분말에 잘 굴려 묻혀준 후, 슈가파우더로 데코해준다.",분량: 2인분 기준 조리시간: 30분 이내 요리팁: 칼을 뜨거운물에 담갔다 빼서 사용하면 초콜릿이 붙지 않고 잘 썰어진다.,2022-10-30
녹차 파운드 케이크,"버터 150g, 설탕 100g, 계란 3개, 박력분 180g, 녹차가루 12g, 소금 2g, 베이킹파우더 2g",,"① 실온에 두어 말랑해진 버터를 푼 뒤, 설탕을 넣고 크림화시켜준다. ② 계란도 나눠 넣어가며 섞어준다. ③ 박력분, 녹차가루, 소금, 베이킹파우더를 체 쳐 넣고 섞어준다. ④ 식용유 또는 버터를 바른 틀에 반죽을 담는다. ⑤ 170°C 온도의 오븐에서 25~30분간 구워준다.",6인분 이상 60분 이내 완성,2022-10-30
녹차 파운드케이크,"핫케이크믹스 1봉지, 우유 200ml, 달걀 1개, 버터 1스푼, 녹차가루 40cc","견과류 1줌, 건자두 1줌",① 견과류와 건자두는 잘게 다져 두고 계란 한개를 깨준다. ② 달걀은 거품기로 거품이 날 때까지 잘 풀어준 다음 우유를 넣어 섞어준다. ③ 녹차가루를 넣어 섞어준 다음 핫케이크믹스 한봉지를 모두 넣어 섞어준다. ④ 건자두를 넣고 잘 섞어준다. 파운드케이크틀에 버터를 발라준다. ⑤ 틀에 반죽을 채워준다. 공기가 빠지도록 바닥에 탁탁 몇 번 쳐준 다음 견과류를 뿌려준다. ⑥ 10분 예열한 160~170℃ 정도의 오븐에 30여분 정도 구워준다.,분량: 4인분 기준 조리시간: 60분 이내 요리팁 젓가락으로 찔러 반죽이 안 붇어 나오면 잘 익은 상태다. 케이크를 자를 때는 식힌 후에 잘라준다. 반죽을 섞을 때 너무 오래 저으면 빵이 질겨질 수 있다.,2022-10-30
녹차 파운드케이크,"기본반죽: 박력쌀가루 120g, 버터 90g, 설탕 80g, 크림치즈 30g, 소금 한꼬집, 달걀 100g(2개), 베이킹 파우더 3g  녹차반죽: 기본반죽에 녹차가루 8g 추가",토핑용 호두 취향껏,"① 실온에 30분 이상 둔 버터와 크림치즈를 부드럽게 풀어준다. ② 설탕을 3~4번에 나누어 넣으며 휘핑기로 젓는다. (최대한 설탕 입자가 풀리도록 한다.) ③ 계란을 3~4번에 나누어 넣으며 휘핑기로 저어 풍성한 크림을 만들어준다. (한꺼번에 계란을 많이 넣으면 크림에서 분리현상이 일어나기 때문에 계란을 한번 넣을 때마다 마요네즈 제형이 될 때까지 섞어준다 생각하고 과정을 반복한다.) ④ 두번 체 친 가루재료를 넣고 11자를 그리며 매끈하게 섞어준다. ⑤ 짤주머니에 기본반죽을 담아 틀에 짜준다. ⑥ 만들어둔 녹차파운드케이크를 큐브모양으로 길게 잘라 반죽 사이사이 간격을 두고 끼운다. ⑦ 자투리 녹차파운드케이크를 가루로 만들어 반죽 위에 뿌리고 남은 기본 반죽을 토핑한다. ⑧ 호두를 기호에 맞게 토핑한다. ⑨ 오븐 180℃에서 10분 굽고, 위에 막이 생기면 기름을 바른 칼이나 스페츌러로 윗면이 이쁘게 부풀도록 길게 칼집을 낸 후 170℃로 내려 30분 더 구워준다.",녹차파운드 케이크는 기본케이크 조리법과 같다. 반죽을 만들어 틀에 한번에 담아 구워내면 된다.,2022-10-30
녹차 팥 롤케이크,"시트(계란 6개, 설탕 90g, 박력분 45g, 옥수수전분 20g, 녹차가루 15g, 버터 25g, 우유 35g, 팥배기 40g)","팥크림(팥앙금 250g, 생크림 250g, 팥배기 60g)","① 계란은 흰자와 노른자를 분리해둔다. 팥배기는 미지근한 물에 한시간 정도 충분히 불려, 물기를 꼼꼼히 제거해 준비해둔다. ½ 빵팬에 유산지를 깐 후, 준비한 팥배기 40g을 깔아준다. ② 차가운 생크림에 팥앙금을 넣고, 천천히 휘핑해서 단단한 팥크림을 만들어 냉장고에 보관해둔다. ③ 우유와 버터를 한 데 계량해서, 전자레인지나 중탕으로 버터를 완전히 녹인 후, 녹차가루를 넣어 멍울이 없도록 잘 섞어둔다. ④ 준비한 흰자에 설탕을 3번에 나누어 넣어가며, 끝이 살짝 구부러지는 머랭을 만들어준다. ⑤ 노른자를 두개씩 넣어가며, 핸드믹서 1단으로 천천히 휘핑해 노른자와 머랭을 잘 섞어준 후, 체 친 밀가루와 옥수수전분을 넣고 큰 동작으로 잘 섞어준다. ⑥ 반죽 일부를 미리 준비해둔 녹차버터반죽에 넣고 잘 섞은 후, 본반죽과 섞어준다. 큰 동작으로 볼륨을 살려 잘 섞어준다. ⑦ 미리 준비한 팬에 반죽을 붓고 스크래퍼로 평평하게 만들어준다. 그런 다음 바닥에 두어번 떨어뜨려 반죽을 정리한 후, 170~180℃로 예열된 오븐에서 15~20분 정도 구워준다. ⑧ 유산지째로 식힘망에 올린 후 한김 식혀준다. ⑨ 미지근한 시트를, 젖은 면보 위에 놓고 시작부분과 끝부분을 사선으로 잘라둔다. 그리고 만들어둔 크림을 얹어준다. 앞부분은 도톰하게 끝부분은 얇게 발라준다. 남겨둔 팥배기는 팥크림 위에 흩뿌려준다. ⑩ 앞부분부터 면보째로 천천히 말아준다. 말아둔 그 상태로 면보는 제거하고, 1시간 정도 냉장고에 보관해 모양을 잡아준다.","분량: 3인분 기준 조리시간: 60분 이내 요리팁 흰자와 노른자를 분리할 때는 흰자에 노른자나 물기, 기름기가 들어가지 않도록 주의해서 분리해야 한다. 오븐에서 구운 후 가운데를 만져보아 탄탄하고 꼬치로 찔러보아 묻어나는게 없으면 다 구워진 것이다.",2022-10-30
녹차 팥롤케이크,"계란 4개, 설탕 65g, 버터 25g, 우유 13g, 밀가루박력분 60g, 녹차가루 10g","생크림 100g, 설탕 10g, 팥앙금 100g, 팥배기","① 부드러운 녹차시트를 만들어준다. 계란을 볼에 담고 가볍게 풀어준 후에 설탕을 2~3번에 나누어 가며 넣어준다. 핸드믹서를 이용해 가볍고 풍성한 거품을 올려준다. 아이보리빛이 돌면서 핸드믹서를 들었을 때 리본이 3~4초 정도 유지되는 반죽을 만들어준다. ② 계란거품이 풍성하게 올라오면 체 쳐 놓은 가루류를 넣어준다. 녹차가루와 박력분을 체에 쳐 넣고 거품이 꺼지지 않도록 재빠르게 섞어준다. ③ 다른 그릇에 버터와 우유를 넣고 중탕을 하거나 전자레인지에 돌려 녹여준 후에 녹차반죽을 한수저 덜어 유지와 섞은 뒤, 그 유지반죽을 다시 녹차반죽에 넣어준다. ④ 철판에 유산지를 깔고 매끄러운 반죽을 넣어준다. ⑤ 윗면을 스크래퍼로 반듯하게 정리한 후에 180℃에서 12~15분 구워준다. 너무 오래 구우면 수분이 날아가 롤을 말때 찢어지기 쉬우니 너무 오버베이크 되지 않도록 주의한다. 구워져 나온 시트는 충분히 식혀준다. ⑥ 시트가 식는 동안 생크림을 휘핑해준다. 물기 없는 깨끗한 볼에 생크림과 설탕을 넣고 단단하게 뿔이 서는 생크림을 만들어준다. ⑦ 시트가 완벽히 식으면 실온에 두어 부드러운 팥앙금을 고르게 펴준다. 앙금이 너무 단단해서 바르기 힘들다면 우유를 조금 넣고 부드럽게 되기를 맞춘 후에 발라준다. ⑧ 팥앙금 위에 단단하게 거품을 올린 생크림을 고르게 펴준다. 말기 쉽도록 말기 시작하는 시트 위에 2, 3번 자국을 내준다. ⑨ 위에 팥배기를 적당히 올려준다. ⑩ 아래 깔려있는 유산지째로 말아준다. 냉장고에서 1~2시간정도 굳혀준다.",6인분 기준 2시간 이상 소요,2022-10-30
